loan_id,customer_id,account_id,loan_type,loan_amount,interest_rate,tenure_months,emi,outstanding_balance,disbursement_date,maturity_date,loan_status
LN000235,CUST000020,ACC000235,Auto,565760.91,9.0,180,5738.32,341966.43,2021-03-11,2036-03-11,Active
LN000221,CUST000156,ACC000221,Personal,862547.36,12.0,84,15226.32,0.0,2024-09-27,2031-09-27,Active
LN000451,CUST000216,ACC000451,Auto,1318560.01,9.0,120,16702.96,132649.85,2024-09-26,2034-09-26,Defaulted
LN000381,CUST000365,ACC000381,Business,3261079.76,11.5,240,34777.12,3052417.04,2023-02-14,2043-02-14,Active
LN000133,CUST000275,ACC000133,Auto,446325.09,9.0,84,7180.96,166267.65,2023-12-10,2030-12-10,Closed
LN000376,CUST000265,ACC000376,Auto,409769.26,9.0,60,8506.14,52511.38,2023-03-05,2028-03-05,Active
LN000405,CUST000052,ACC000405,Personal,766872.15,12.0,36,25471.13,0.0,2020-07-06,2023-07-06,Active
LN000523,CUST000109,ACC000523,Education,1524843.63,8.0,60,30918.33,937395.36,2022-01-27,2027-01-27,Active
LN000750,CUST000132,ACC000750,Business,3183006.97,11.5,36,104962.86,2133378.37,2020-11-14,2023-11-14,Active
LN000427,CUST000199,ACC000427,Home,7391749.68,8.5,84,117059.34,0.0,2022-06-26,2029-06-26,Active
LN000042,CUST000067,ACC000042,Business,2489198.84,11.5,84,43278.36,0.0,2021-03-17,2028-03-17,Active
LN000496,CUST000345,ACC000496,Education,599402.38,8.0,240,5013.64,0.0,2023-10-21,2043-10-21,Active
LN000109,CUST000150,ACC000109,Auto,472667.78,9.0,120,5987.56,430754.86,2023-05-12,2033-05-12,Active
LN000345,CUST000296,ACC000345,Auto,1912518.54,9.0,60,39700.74,1277306.7,2024-04-14,2029-04-14,Active
LN000057,CUST000407,ACC000057,Home,2061839.25,8.5,240,17893.12,1274541.97,2022-05-31,2042-05-31,Active
LN000260,CUST000335,ACC000260,Business,3666520.69,11.5,180,42831.92,0.0,2023-02-18,2038-02-18,Active
LN000480,CUST000347,ACC000480,Home,5176569.39,8.5,240,44923.47,190064.22,2020-03-27,2040-03-27,Active
LN000626,CUST000481,ACC000626,Home,8896880.11,8.5,180,87611.1,0.0,2022-05-29,2037-05-29,Active
LN000228,CUST000493,ACC000228,Education,1081691.06,8.0,120,13123.9,543611.16,2020-02-12,2030-02-12,Active
LN000213,CUST000461,ACC000213,Business,2570436.06,11.5,240,27411.89,1967374.48,2022-01-11,2042-01-11,Active
LN000594,CUST000080,ACC000594,Home,3946531.8,8.5,180,38863.06,0.0,2022-03-31,2037-03-31,Active
LN000333,CUST000217,ACC000333,Auto,1593287.72,9.0,60,33074.03,0.0,2021-11-13,2026-11-13,Active
LN000025,CUST000243,ACC000025,Business,3349511.0,11.5,180,39128.65,1432207.15,2022-11-10,2037-11-10,Closed
LN000781,CUST000031,ACC000781,Auto,961759.58,9.0,240,8653.2,641591.18,2024-07-27,2044-07-27,Active
LN000352,CUST000341,ACC000352,Personal,330371.4,12.0,60,7348.93,264231.03,2023-05-18,2028-05-18,Active
LN000357,CUST000226,ACC000357,Home,3417169.03,8.5,240,29654.99,0.0,2022-10-08,2042-10-08,Active
LN000052,CUST000296,ACC000052,Business,2520073.66,11.5,180,29439.24,0.0,2023-08-09,2038-08-09,Defaulted
LN000332,CUST000123,ACC000332,Auto,1782795.0,9.0,240,16040.27,1173264.74,2021-10-09,2041-10-09,Active
LN000734,CUST000086,ACC000734,Education,1493961.77,8.0,84,23285.21,678979.42,2024-06-18,2031-06-18,Active
LN000630,CUST000173,ACC000630,Auto,1211739.02,9.0,84,19495.76,100480.7,2022-08-03,2029-08-03,Active
LN000502,CUST000495,ACC000502,Auto,1730714.61,9.0,36,55036.26,1455533.31,2023-08-13,2026-08-13,Active
LN000335,CUST000288,ACC000335,Business,2230171.14,11.5,180,26052.63,1969644.84,2023-02-09,2038-02-09,Active
LN000286,CUST000185,ACC000286,Business,3433268.55,11.5,84,59692.39,0.0,2023-05-24,2030-05-24,Active
LN000019,CUST000414,ACC000019,Home,5604184.87,8.5,84,88750.59,4716678.97,2024-01-02,2031-01-02,Active
LN000585,CUST000051,ACC000585,Personal,135227.91,12.0,240,1488.98,0.0,2022-06-15,2042-06-15,Active
LN000749,CUST000480,ACC000749,Business,1214357.94,11.5,84,21113.39,179801.83,2021-08-02,2028-08-02,Active
LN000084,CUST000369,ACC000084,Auto,1486236.35,9.0,36,47261.92,493736.03,2024-06-04,2027-06-04,Active
LN000062,CUST000287,ACC000062,Home,6463705.7,8.5,120,80140.7,3899203.3,2021-08-04,2031-08-04,Active
LN000463,CUST000328,ACC000463,Business,4429758.48,11.5,84,77017.82,0.0,2020-06-15,2027-06-15,Active
LN000292,CUST000234,ACC000292,Auto,896370.78,9.0,240,8064.88,0.0,2023-12-01,2043-12-01,Active
LN000448,CUST000176,ACC000448,Business,3689753.06,11.5,36,121673.32,0.0,2021-09-26,2024-09-26,Active
LN000183,CUST000020,ACC000183,Auto,1701095.65,9.0,240,15305.2,0.0,2023-12-10,2043-12-10,Closed
LN000550,CUST000462,ACC000550,Business,920538.34,11.5,240,9816.89,0.0,2022-05-17,2042-05-17,Active
LN000501,CUST000357,ACC000501,Auto,894185.71,9.0,60,18561.82,0.0,2021-11-30,2026-11-30,Active
LN000224,CUST000149,ACC000224,Personal,303888.74,12.0,60,6759.84,276849.38,2020-11-13,2025-11-13,Active
LN000425,CUST000086,ACC000425,Home,6061517.7,8.5,180,59690.16,0.0,2024-09-06,2039-09-06,Active
LN000468,CUST000083,ACC000468,Auto,1802228.44,9.0,180,18279.4,0.0,2020-09-25,2035-09-25,Active
LN000320,CUST000469,ACC000320,Personal,262761.37,12.0,240,2893.23,0.0,2024-04-28,2044-04-28,Active
LN000329,CUST000361,ACC000329,Personal,749064.7,12.0,36,24879.67,176832.29,2022-04-21,2025-04-21,Active
LN000444,CUST000432,ACC000444,Personal,972629.74,12.0,180,11673.19,0.0,2021-08-06,2036-08-06,Active
LN000494,CUST000413,ACC000494,Personal,378521.11,12.0,120,5430.68,248184.79,2024-09-06,2034-09-06,Active
LN000177,CUST000174,ACC000177,Business,4929979.07,11.5,120,69313.26,2434701.71,2024-04-24,2034-04-24,Active
LN000677,CUST000394,ACC000677,Business,2873569.05,11.5,60,63197.28,2115201.69,2024-07-30,2029-07-30,Active
LN000364,CUST000204,ACC000364,Personal,885701.73,12.0,36,29417.97,3162.63,2023-08-06,2026-08-06,Active
LN000164,CUST000413,ACC000164,Business,4704320.99,11.5,240,50168.27,0.0,2024-09-28,2044-09-28,Active
LN000249,CUST000357,ACC000249,Auto,534200.2,9.0,60,11089.12,223704.84,2021-07-12,2026-07-12,Closed
LN000519,CUST000352,ACC000519,Personal,847942.05,12.0,36,28163.81,59355.37,2021-03-30,2024-03-30,Active
LN000711,CUST000316,ACC000711,Home,5319175.25,8.5,120,65950.16,2219517.73,2022-10-25,2032-10-25,Active
LN000075,CUST000189,ACC000075,Home,4999301.39,8.5,36,157815.63,4052407.61,2021-10-14,2024-10-14,Active
LN000644,CUST000288,ACC000644,Auto,1666209.02,9.0,60,34587.76,1043629.34,2020-03-19,2025-03-19,Closed
LN000406,CUST000090,ACC000406,Education,2179394.37,8.0,60,44190.26,190832.67,2024-04-03,2029-04-03,Active
LN000105,CUST000443,ACC000105,Business,523630.39,11.5,36,17267.24,247354.55,2020-02-08,2023-02-08,Active
LN000115,CUST000078,ACC000115,Personal,593923.82,12.0,240,6539.61,0.0,2023-05-31,2043-05-31,Active
LN000301,CUST000291,ACC000301,Auto,780224.36,9.0,36,24810.93,408060.41,2020-04-07,2023-04-07,Active
LN000093,CUST000311,ACC000093,Business,2557011.27,11.5,36,84320.02,0.0,2024-09-09,2027-09-09,Active
LN000412,CUST000052,ACC000412,Home,7055639.54,8.5,180,69479.67,4554371.42,2021-05-10,2036-05-10,Active
